Contents,,,
Prompt Engineering,,,
Foundational Models & Adaptation,,,
RAG (Retrieval-Augmented Generation),,,
Stateful AI and Memory,,,
AI System Integration,,,
Model Deployment and Infrastructure,,,
"Evaluation, Safety, and Monitoring",,,
"AI Ethics, Governance, and Risk",,,
Use Case Identification,,,
Project Management,,,
CHANNEL: Artificial Intelligence,,,
Subdomain,Skill,Level,Description
Context Engineering,Prompt Design and Clarity,Beginner,"Understands what a prompt is and can use basic, direct questions (e.g., ""Summarize this paragraph"")"
,,Novice,"Can write functional prompts with some tuning (e.g., changing tone or format), usually through trial and error"
,,Competent,"Crafts clear, targeted prompts with intent (e.g., persona-based prompts, format constraints) and predicts model behavior"
,,Proficient,"Designs nuanced prompts tailored to task complexity, refines for performance, and reduces hallucinations"
,,Expert,"Innovates new prompting strategies, teaches best practices, and actively contributes to evolving prompt methodologies"
,Prompting Strategies and Patterns,Beginner,"Aware that prompts can be written in different ways (e.g., with or without examples); may use zero-shot without knowing the term"
,,Novice,"Understands and can explain zero-shot, one-shot, and few-shot prompting; begins experimenting with examples or role-based setups"
,,Competent,"Chooses prompting strategies based on task (e.g., uses few-shot for classification, chain-of-thought for reasoning); evaluates performance impact"
,,Proficient,"Refines and optimizes prompting techniques (e.g., tunes few-shot examples, uses role prompting or system messages for behavior control)"
,,Expert,"Invents or systematizes advanced techniques (e.g., self-consistency, scratchpad reasoning); mentors others and contributes to prompt strategy design"
,Using Prompt Templates and Variables,Beginner,Can fill in simple templates with static inputs when shown a working example
,,Novice,"Understands the use of input/output variables and can use basic templating tools (e.g., f-strings, Jinja)"
,,Competent,"Creates reusable prompt templates for common tasks, dynamically fills in variables from app code or workflows"
,,Proficient,"Optimizes prompt templates for performance, integrates them into tooling (e.g., LangChain/Flowise), and manages template versions"
,,Expert,"Designs scalable prompt templating frameworks, mentors others on maintainability, and drives prompt system architecture"
,Token and Context Management,Beginner,"Aware that models have context limits (e.g., “4,000 tokens”); may not fully understand implications"
,,Novice,"Can count tokens using tooling (e.g., tiktoken, tokenizer APIs); trims inputs manually when needed"
,,Competent,"Designs prompts and applications to stay within context window; understands tradeoffs between input length, quality, and cost"
,,Proficient,"Implements dynamic context management (e.g., truncation strategies, selective summarization, memory buffers)"
,,Expert,"Innovates on context compression, hierarchical memory, or long-context strategies; advises or contributes to scalable LLM deployment patterns"
,Prompt Chaining for Multi-Step Reasoning,Beginner,"Aware that large tasks can be broken down, but may not know how to design or execute chained prompts"
,,Novice,"Can use a predefined multi-prompt flow to perform step-by-step tasks (e.g., retrieve > summarize > reformat)"
,,Competent,Designs simple prompt chains to guide reasoning or improve reliability in multi-step tasks
,,Proficient,"Builds robust chained workflows using frameworks (e.g., LangChain agents), and handles errors and edge cases"
,,Expert,"Invents novel reasoning patterns, teaches chaining strategies, and contributes to best practices for LLM workflow design"
Foundational Models & Adaptation,Understanding Transformer Architectures,Beginner,Has heard of transformers and knows they’re used in LLMs; may recognize “attention is all you need”
,,Novice,"Can explain basic components (e.g., attention, embeddings, positional encoding) with some inaccuracies"
,,Competent,Understands transformer internals well enough to select or compare models based on architecture
,,Proficient,"Analyzes model behavior or performance in context of architectural trade-offs (e.g., decoder-only vs encoder-decoder)"
,,Expert,"Can teach or innovate on architecture; contributes to research, benchmarking, or new model designs"
,"Using Open and Closed Source Models (e.g., GPT-4, LLaMA)",Beginner,Can run basic queries through OpenAI or Hugging Face interfaces
,,Novice,"Knows the difference between hosted APIs and local models; can switch between GPT, Claude, LLaMA, etc"
,,Competent,"Selects and configures appropriate models (API vs local), understands performance/cost tradeoffs"
,,Proficient,"Benchmarks model performance, deploys models across different environments, understands licensing implications"
,,Expert,"Evaluates, modifies, or fine-tunes models at scale; helps organizations build hybrid or fallback strategies"
,"Fine-Tuning Models (full, LoRA, PEFT)",Beginner,Aware that models can be trained further; has heard terms like “fine-tuning” or “domain adaptation.”
,,Novice,Can follow tutorials to perform basic fine-tuning tasks using libraries like Hugging Face or PEFT
,,Competent,"Chooses the right fine-tuning method (full vs LoRA vs prompt tuning), and runs training workflows effectively"
,,Proficient,"Optimizes fine-tuning pipelines (e.g., hyperparams, evaluation), manages training data pipelines"
,,Expert,"Develops novel fine-tuning techniques, integrates them at scale, and contributes to open-source or research"
,Using Adapters and Model Quantization,Beginner,"Has heard of adapters or quantization, but may not know when or why to use them"
,,Novice,Can follow instructions to apply adapters or quantize models using off-the-shelf tooling
,,Competent,Applies quantization or adapter strategies appropriately to optimize model deployment and cost
,,Proficient,"Benchmarks performance vs quality trade-offs; understands implications of precision levels (e.g., int8, fp16)"
,,Expert,Designs deployment strategies with custom adapters/quantization; contributes to tooling or optimization frameworks
RAG (Retrieval-Augmented Generation),Text Chunking Strategies,Beginner,"Aware that long texts must be broken into parts; uses basic naive splits (e.g., every 500 words)"
,,Novice,"Can apply simple chunking techniques (e.g., overlapping windows, paragraph-based) via prebuilt tools"
,,Competent,"Selects chunking strategy based on context length, semantic boundaries, and task type (e.g., summarization vs Q&A)"
,,Proficient,"Designs and evaluates custom chunking logic using metadata, headings, or content density; considers chunk cohesion"
,,Expert,Innovates new chunking methods to improve downstream RAG performance; shares tools or research with the community
,Embedding Generation and Similarity Search,Beginner,"Can generate embeddings using provided APIs (e.g., OpenAI, Hugging Face) for a few documents"
,,Novice,Understands the concept of semantic similarity and vector space; can implement basic search
,,Competent,"Selects embedding models, tunes similarity thresholds, and handles common edge cases (e.g., null vectors)"
,,Proficient,Benchmarks different embedding models for task fit; implements reranking or hybrid search techniques
,,Expert,"Designs embedding strategies (e.g., task-specific training), evaluates at scale, and contributes to model or index improvement"
,"Vector Database Use (e.g., FAISS, Pinecone, Weaviate)",Beginner,"Can store and retrieve embeddings using a simple API (e.g., Pinecone quickstart, ChromaDB)"
,,Novice,"Sets up a basic vector database, loads data, and performs similarity searches with guidance"
,,Competent,"Selects appropriate vector DB for the task; implements filtering, metadata queries, and hybrid search"
,,Proficient,"Tunes index parameters (e.g., ANN algorithms), manages data lifecycle, and scales databases in production"
,,Expert,Designs distributed or multi-modal vector stores; contributes to indexing strategy or underlying vector DB performance
,"Designing Effective RAG Pipelines (Fusion/Fan-Out, Ranking, Fallback)",Beginner,"Understands that RAG connects retrieval with generation, but may struggle with implementation"
,,Novice,"Can build basic RAG pipeline using templates or tools (e.g., LangChain retrieval chain)"
,,Competent,"Designs RAG workflows with appropriate retrieval logic (e.g., top-k, rerankers) and integrates into apps"
,,Proficient,"Builds robust pipelines using fusion, fan-out, fallback, or multi-hop retrieval; evaluates latency vs quality"
,,Expert,Innovates new retrieval-generation workflows; contributes to open-source or publishes case studies/research on RAG
Stateful AI and Memory,Desiging and Using Memory Systems,Beginner,Understands that memory enables AI to retain information across interactions; recognizes stateless vs stateful behavior
,,Novice,"Uses basic memory modules in frameworks like LangChain or Semantic Kernel; distinguishes short-term (buffer, sliding window) and long-term memory (vector-based retrieval)"
,,Competent,"Designs and applies memory in projects; selects appropriate strategies and tools (e.g., Redis, vector stores)"
,,Proficient,"Customizes memory architecture for specific use cases (e.g., summarization for long sessions, episodic memory for agents); balances cost, context, performance and builds reusable patterns"
,,Expert,"Leads design of scalable memory systems; develops new patterns, mentors others, and aligns memory with governance standards"
,Implementing Conversational Memory,Beginner,Recognizes that conversations need context to feel natural; aware that models “forget” without memory and can’t continue coherent dialogue on their own
,,Novice,"Uses framework-provided tools (e.g., session buffers, turn logs) to maintain conversation history; enables basic continuity and recall within a single session"
,,Competent,"Implements memory that persists across turns and sessions; uses summarization, tagging, or segmentation to retain relevant context and user details"
,,Proficient,"Designs conversational flows that adapt based on memory (e.g., user preferences, prior topics); manages memory lifecycle to balance personalization with accuracy and cost"
,,Expert,"Architects dynamic, context-aware memory systems for complex chat experiences; aligns memory strategy with UX goals, privacy controls, and long-term user engagement. Mentors others on creating human-like continuity in AI interactions"
,Ethical Use and Governance of AI Memory,Beginner,Understands that storing memory raises ethical and privacy concerns; aware of basic data sensitivity
,,Novice,"Applies basic guardrails (e.g., not storing PII); recognizes when consent, transparency, or deletion may be needed"
,,Competent,"Designs memory features with user consent, data minimization, and retention policies in mind"
,,Proficient,"Implements governance controls (e.g., audit logs, opt-out mechanisms); ensures alignment with internal and external compliance standards"
,,Expert,"Leads ethical design of memory systems; defines policy, aligns architecture with regulatory frameworks (e.g., GDPR), and educates others on responsible practices"
AI System Integration,"Calling models via API (e.g., OpenAI, Azure, Hugging Face)",Beginner,"Can call an AI model using simple REST or SDK examples (e.g., OpenAI Playground or curl snippet)"
,,Novice,Can call APIs programmatically from apps using authentication and basic parameterization
,,Competent,"Manages API versioning, rate limits, and retries; uses environment variables for secure deployment"
,,Proficient,Abstracts and wraps model APIs into reusable components; handles multi-provider support and logging
,,Expert,"Designs robust multi-model infrastructure; contributes to SDKs, best practices, or enterprise AI platform integration"
,"Chaining model calls with tools/workflows (e.g., LangChain, Semantic Kernel)",Beginner,Follows tutorials to chain two or more steps in a basic agent or workflow
,,Novice,Understands agent architectures; chains tools or prompts using existing components in frameworks
,,Competent,"Designs full pipelines for task execution, including memory, planning, and tool invocation"
,,Proficient,"Builds modular, reusable agents or chains that can handle conditional logic, tool errors, and state"
,,Expert,"Invents new chaining patterns, extends frameworks with custom logic, and helps define best practices for tool orchestration"
,"Integrating model outputs into applications (frontend, backend)",Beginner,"Can display raw model output in a basic interface (e.g., textbox ? response box)"
,,Novice,"Uses model responses in form fields, dashboards, or chat UIs with some formatting or logic"
,,Competent,"Designs APIs or service layers to process model responses, handle edge cases, and enable testing"
,,Proficient,"Integrates model feedback loops, streaming outputs, or real-time updates into app UX patterns"
,,Expert,Leads AI-driven product architecture; ensures LLM behavior aligns with business logic and user experience
Model Deployment and Infrastructure,"Hosting models (local, cloud, edge)",Beginner,"Can run a small model locally using example scripts (e.g., Hugging Face transformers or text-generation-webui)"
,,Novice,"Deploys basic models to cloud services (e.g., Hugging Face Spaces, Azure ML) using default settings"
,,Competent,"Configures model serving environments, manages hardware requirements (e.g., GPU/CPU), and selects deployment targets"
,,Proficient,"Deploys and scales models in containerized/cloud-native environments (e.g., Docker, Kubernetes, Azure AKS)"
,,Expert,"Designs hybrid/local/cloud deployment strategies, optimizes resource allocation, and supports edge inference pipelines"
,Using inference endpoints and serverless functions,Beginner,"Understands the concept of an inference endpoint and can query it via HTTP tools (e.g., Postman)"
,,Novice,"Deploys serverless inference using low-code platforms (e.g., Azure Functions, AWS Lambda with Hugging Face endpoints)"
,,Competent,"Wraps models as REST endpoints with validation, authentication, and async processing logic"
,,Proficient,"Orchestrates inference across serverless environments with autoscaling, observability, and traffic management"
,,Expert,"Designs cost-optimized, multi-region serverless inference architecture and integrates with enterprise systems"
,"Caching, rate limiting, and scaling",Beginner,Aware that model queries can be slow or expensive; may recognize API limits
,,Novice,"Uses basic caching strategies (e.g., memoization, API gateway caching) and understands rate limits"
,,Competent,"Implements caching layers (e.g., Redis), configures rate limits, and monitors throughput"
,,Proficient,"Designs horizontal/vertical scaling strategies, optimizes for latency and concurrency."
,,Expert,"Builds globally distributed, auto-scaling AI services with fine-tuned traffic control, caching policies, and fallback logic."
,Using MLOps pipelines (CI/CD for models),Beginner,Has heard of MLOps; understands it’s similar to DevOps for models
,,Novice,Uses simple pipelines to retrain or redeploy models via notebooks or tools like MLflow or Azure ML Designer
,,Competent,"Sets up automated CI/CD workflows for models using GitHub Actions, MLflow, or Azure DevOps"
,,Proficient,"Integrates model training, evaluation, deployment, and rollback into a cohesive pipeline with monitoring"
,,Expert,"Designs robust MLOps architecture for enterprise scale, incorporating audit trails, lineage tracking, and compliance requirements"
"Evaluation, Safety, and Monitoring",Designing human & automated evaluation methods,Beginner,Understands that AI outputs need to be evaluated; can give basic subjective feedback
,,Novice,"Uses predefined metrics (e.g., BLEU, ROUGE, accuracy) and performs basic A/B comparisons"
,,Competent,"Designs task-specific evaluation frameworks combining human review and metrics (e.g., faithfulness, relevance)"
,,Proficient,"Implements human-in-the-loop pipelines, feedback collection, and aggregated scoring dashboards"
,,Expert,"Innovates new evaluation methodologies for complex LLM use cases (e.g., helpfulness, bias, trustworthiness); contributes to standardization"
,Hallucination detection and mitigation,Beginner,Aware that models can “make things up” but unsure how to detect or fix it
,,Novice,Can identify obvious hallucinations and uses simple prompts or grounding to reduce them
